./program --sensorOnly --sampleTime <sampleTime> --PrecisionBits <PrecisionBits> -- numberOfSimulatedSamples <numberOfSimulatedSamples>2021-01-25.12:26:23	52.5	1000
2021-01-25.12:26:24	20.3	1000
2021-01-25.12:26:25	42.9	1000
2021-01-25.12:26:26	22.2	1000
2021-01-25.12:26:27	46.2	1000
2021-01-25.12:26:28	38.1	1000
2021-01-25.12:26:29	23.4	1000
2021-01-25.12:26:30	16.6	1000
2021-01-25.12:26:31	38.9	1000
2021-01-25.12:26:32	4.34	1000
2021-01-25.12:26:33	9.69	1000
2021-01-25.18:05:51	17.8	1000
2021-01-25.18:05:52	43.6	1000
2021-01-25.18:05:53	59.9	1000
2021-01-25.18:05:54	33.1	1000
2021-01-25.18:05:55	45	1000
2021-01-25.18:05:56	49.7	1000
2021-01-25.18:05:57	36.2	1000
2021-01-30.11:18:39	47.8	1000
2021-01-30.11:18:40	50.9	1000
2021-01-30.11:18:41	46.4	1000
2021-01-30.11:18:42	49.4	1000
2021-01-30.11:18:43	59	1000
2021-01-30.11:18:44	28.6	1000
2021-01-30.11:18:45	3.17	1000
2021-01-30.11:18:46	58.2	1000
2021-01-30.11:18:47	40.7	1000
2021-01-30.11:18:48	4.98	1000
2021-01-30.11:18:49	17.8	1000
2021-01-30.11:18:50	11.8	1000
2021-01-30.11:18:51	48.2	1000
2021-01-30.11:18:52	52.5	1000
2021-01-30.11:18:53	7.69	1000
2021-01-30.11:18:54	29	1000
2021-01-30.11:18:55	13.5	1000
2021-01-30.11:18:56	11	1000
2021-01-30.11:18:57	53.2	1000
2021-01-30.11:18:58	58.7	1000
2021-01-30.11:18:59	16.7	1000
2021-01-30.11:19:00	25	1000
2021-01-30.11:19:01	56.9	1000
2021-01-30.11:19:02	10.2	1000
2021-01-30.11:19:03	1.14	1000
2021-01-30.11:19:04	19.4	1000
2021-01-30.11:19:05	39.1	1000
2021-01-30.11:19:06	27.4	1000
2021-01-30.11:19:07	28.2	1000
2021-01-30.11:19:08	55.8	1000
2021-01-30.11:19:09	33.4	1000
2021-01-30.11:19:10	53.2	1000
2021-01-30.11:19:11	44.7	1000
2021-01-30.11:19:12	56.9	1000
2021-01-30.11:19:13	40.6	1000
2021-01-30.11:19:14	18.9	1000
2021-01-30.11:19:15	23.5	1000
2021-01-30.11:19:16	21	1000
2021-01-30.11:19:17	54.2	1000
2021-01-30.11:19:18	41.4	1000
2021-01-30.11:19:19	25.9	1000
2021-01-30.11:19:20	9.98	1000
2021-01-30.11:19:21	30.3	1000
2021-01-30.11:19:22	51.3	1000
2021-01-30.11:19:23	39.7	1000
2021-01-30.11:19:24	38	1000
2021-01-30.11:19:25	18.3	1000
2021-01-30.11:19:26	30.4	1000
2021-01-30.11:19:27	26.2	1000
2021-01-30.11:19:28	48.6	1000
